,name,github_id,category,labels,cargo_id,cargo_url,cargo_monthly_downloads,monthly_downloads,cargo_total_downloads,description,projectrank,show,projectrank_placing,npm_id,greasy_fork_id,npm_url,greasy_fork_url,trending,homepage,new_addition,gitlab_id,license,pypi_id,pypi_url,go_id,go_url
124,Django Typst,a-musing-moose/django-typst-engine,coding,['extension'],,,,,,,0,False,,,,,,,,,,,django_typst,https://pypi.org/project/django_typst,,
125,Press,RossSmyth/press,coding,['api'],,,,,,,0,False,,,,,,,,,,,,,,
126,php-typst,aszenz/php-typst,coding,['api'],,,,,,,0,False,,,,,,,,,,,,,,
127,inkscape2cetz,PhosCity/inkscape2cetz,convert,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
128,Tide,Nxllpointer/tide,writing,['runnable'],,,,,,,0,False,,,,,,,,,,,,,,
129,Typstify,iXORTech/Typstify,writing,['app'],,,,,,,0,False,,,,,,,,,,,,,,
130,Typst as Library,tfachmann/typst-as-library,coding,,,,,,,,0,False,,,,,,,,,,,,,,
131,discourse-typst,Heinenen/discourse-typst,coding,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
132,Jupyter to Typst converter,8LWXpg/jupyter2typst,convert,['cli'],,,,,,,0,False,,,,,,,,,,,,,,
133,TyKo,LDemetrios/TyKo,coding,"['api', 'multilingual']",,,,,,Kotlin bindings for Typst.,0,False,,,,,,,,,,,,,,
134,全球文种的字体与布局,7sDream/fonts-and-layout-zhCN,misc,['non-english'],,,,,,,0,False,,,,,,,,,,,,,,
135,Wypst,0xbolt/wypst,math,['api'],,,,,,,0,False,,wypst,,https://www.npmjs.com/package/wypst,,,,,,,,,,
136,obsidian-wypst,0xbolt/obsidian-wypst,mix,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
137,typst-preview.el,havarddj/typst-preview.el,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
138,Prettypst,antonWetzel/prettypst,writing,"['runnable', 'extension']",,,,,,,0,False,,,,,,,,,,,,,,
139,gotypst,francescoalemanno/gotypst,coding,['api'],,,,,,,0,False,,,,,,,,,,,,,github.com/francescoalemanno/gotypst,https://pkg.go.dev/github.com/francescoalemanno/gotypst
140,Prism-Typst,Mc-Zen/prism-typst,mix,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
141,Serifian,kwangkim/Serifian,writing,['app'],,,,,,,0,False,,,,,,,,,,,,,,
142,typst-notebook,freundTech/typst-notebook,mix,['runnable'],,,,,,,0,False,,,,,,,,,,,,,,
143,typst-gh-action,thehydrogen/typst-gh-action,coding,,,,,,,,0,False,,,,,,,,,,,,,,
144,Shell Escape for Typst,elteammate/typst-shell-escape,mix,['typst-package'],,,,,,,0,False,,,,,,,,,,,,,,
145,typst_cxx,,coding,['api'],,,,,,,0,False,,,,,,,,,typst_cxx/typst_cxx,,,,,
146,syntastica-typst,RubixDev/syntastica-typst,misc,['typst-package'],,,,,,,0,False,,,,,,,,True,,,,,,
147,Webapp for converting BibTeX to Hayagriva,JonasLoos/bibtex-to-hayagriva-webapp,ref,['web'],,,,,,,0,False,,,,,,,,True,,,,,,
148,TypstBench,rkstgr/TypstBench,misc,['runnable'],,,,,,,0,False,,,,,,,,True,,,,,,
149,citation-js/plugin-hayagriva,citation-js/plugin-hayagriva,ref,"['extension', 'api']",,,,,,,0,False,,@citation-js/plugin-hayagriva,,https://www.npmjs.com/package/@citation-js/plugin-hayagriva,,,,True,,,,,,
150,citationberg.js,jcbhmr/citationberg.js,ref,['api'],,,,,,,0,False,,citationberg,,https://www.npmjs.com/package/citationberg,,,,True,,,,,,
151,typst.js,typst-community/typst.js,coding,['api'],,,,,,,0,False,,typst,,https://www.npmjs.com/package/typst,,,,True,,,,,,
152,HackingGate/typst-out,HackingGate/typst-out,coding,,,,,,,,0,False,,,,,,,,True,,,,,,
153,typst-community/setup-hayagriva,typst-community/setup-hayagriva,ref,,,,,,,,0,False,,,,,,,,True,,,,,,
154,typst-community/typst-install,typst-community/typst-install,misc,,,,,,,,0,False,,,,,,,,True,,,,,,
